ProductID,ProductName,Category,UnitPrice,QuantitySold,SaleDate,Region,DiscountApplied
P1001,Laptop Pro,Electronics,1200.50,15,2024-01-15,North,0.05
P1002,Office Chair,Furniture,150.00,50,2024-01-17,West,0.10
P1003,Wireless Mouse,Electronics,25.99,120,2024-01-18,North,
P1004,Standing Desk,Furniture,450.75,25,2024-01-20,East,0.00
P1005,Keyboard,Electronics,75.00,80,2024-01-22,South,0.05
P1006,Monitor Arm,Accessories,99.90,40,2024-01-23,West,
P1007,Notebook Basic,Stationery,2.50,500,2024-01-25,North,0.00
P1008,Smartphone X,Electronics,999.00,10,2024-01-28,East,0.15
P1009,Desk Lamp,Furniture,45.00,60,2024-02-01,South,0.00
P1010,Webcam HD,Electronics,60.00,35,2024-02-03,West,0.05
P1011,Printer Ink,Supplies,15.50,200,2024-02-05,North,
P1012,External SSD,Electronics,180.00,20,2024-02-07,East,0.10
P1013,Coffee Mug,Accessories,12.00,150,2024-02-10,South,0.00
P1014,Backpack,Accessories,55.25,45,2024-02-12,West,0.05
P1015,Tablet Standard,Electronics,350.00,30,2024-02-15,North,0.10
P1016,Ergonomic Footrest,Furniture,70.00,22,2024-02-18,East,
P1017,Pen Set,Stationery,8.99,300,2024-02-20,South,0.00
P1018,Docking Station,Electronics,250.00,18,2024-02-22,West,0.05
P1019,Whiteboard Small,Supplies,30.00,55,2024-02-25,North,0.00
P1020,Bookshelf,Furniture,220.00,12,2024-02-28,East,0.10